Tamaño del tablero,Tablero solución,Número de conflictos,Estados explorados,Tiempo (segundos)
4,"[1, 3, 0, 2]",0,26,0
8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,876,"0,0009968280792"
10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,975,0
12,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,3066,"0,001994609833"
15,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,20280,"0,01097083092"
