Tamaño del tablero,Tablero solución,Número de conflictos,Estados explorados,Tiempo (segundos)
4,"[1, 3, 0, 2]",0,8,0
8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,113,0
10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,102,0
12,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,261,"0,0009973049164"
15,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,1359,"0,005983114243"
