Tablero inicial,Tamaño del tablero,Tablero solución,Número de conflicos,Cantidad de Movimientos,Tiempo (segundos),Historial de reinas amenazadas
"[1, 1, 0, 3]",4,"[2, 0, 3, 1]",0,113,0,"[6, 2, 6, 4, 8, 4, 6, 8, 6, 6, 10, 10, 6, 8, 10, 6, 8, 6, 10, 10, 10, 10, 8, 8, 10, 8, 10, 10, 10, 10, 4, 4, 8, 8, 12, 8, 4, 2, 4, 4, 4, 8, 8, 8, 8, 8, 6, 6, 6, 4, 4, 8, 6, 4, 6, 8, 4, 6, 4, 6, 6, 6, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
"[0, 1, 0, 0]",4,"[2, 0, 3, 1]",0,79,0,"[10, 6, 4, 8, 10, 6, 8, 8, 8, 8, 8, 4, 4, 4, 8, 8, 8, 6, 4, 4, 4, 6, 2, 4, 8, 6, 8, 6, 4, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 8, 12, 10, 8, 8, 6, 6, 4, 6, 8, 8, 6, 6, 6, 6, 4, 4, 4, 4, 4, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 6, 6, 6, 6, 2, 2, 2, 2, 2, 0]"
"[1, 3, 0, 3]",4,"[1, 3, 0, 2]",0,37,0,"[2, 6, 10, 8, 6, 2, 6, 8, 6, 8, 6, 6, 4, 6, 4, 6, 6, 8, 6, 8, 10, 6, 10, 10, 8, 6, 8, 6, 8, 4, 6, 4, 8, 6, 8, 6, 0]"
"[2, 3, 0, 2]",4,"[1, 3, 0, 2]",0,101,0,"[6, 8, 8, 4, 4, 8, 12, 10, 10, 6, 4, 4, 6, 6, 6, 8, 8, 6, 6, 10, 6, 4, 8, 8, 2, 4, 4, 6, 2, 2, 8, 4, 6, 4, 4, 2, 6, 10, 6, 6, 2, 4, 6, 6, 10, 8, 8, 8, 8, 8, 4, 4, 8, 10, 8, 8, 6, 6, 6, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
"[2, 3, 2, 2]",4,"[2, 0, 3, 1]",0,64,"0,0009977817535","[10, 6, 10, 12, 8, 12, 8, 6, 6, 8, 8, 4, 6, 10, 8, 4, 8, 10, 6, 6, 6, 10, 12, 8, 6, 6, 6, 4, 4, 4, 4, 4, 4, 10, 10, 10, 6, 10, 6, 6, 2, 4, 4, 4, 6, 6, 6, 10, 6, 8, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 0]"
"[1, 0, 2, 0]",4,"[1, 3, 0, 2]",0,26,0,"[4, 4, 4, 6, 4, 4, 10, 6, 2, 4, 2, 6, 10, 8, 6, 10, 10, 10, 4, 4, 4, 6, 6, 8, 6, 0]"
"[0, 2, 3, 2]",4,"[2, 0, 3, 1]",0,122,"0,0009968280792","[6, 10, 10, 10, 4, 8, 4, 8, 8, 6, 8, 6, 8, 6, 8, 6, 10, 10, 6, 10, 6, 8, 4, 2, 6, 8, 8, 6, 6, 6, 10, 10, 8, 4, 8, 8, 10, 8, 4, 10, 10, 10, 12, 10, 8, 4, 2, 4, 4, 4, 8, 6, 4, 6, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
"[2, 2, 1, 3]",4,"[2, 0, 3, 1]",0,106,"0,0009968280792","[4, 8, 4, 4, 2, 6, 6, 6, 6, 2, 2, 6, 8, 6, 6, 8, 6, 8, 6, 8, 6, 8, 8, 8, 12, 8, 4, 6, 6, 10, 10, 6, 10, 4, 4, 4, 6, 8, 8, 8, 6, 2, 2, 6, 8, 8, 6, 2, 2, 2, 6, 6, 6, 4, 4, 6, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
"[1, 1, 2, 0]",4,"[1, 3, 0, 2]",0,74,0,"[4, 6, 10, 6, 4, 8, 8, 6, 2, 6, 10, 8, 10, 8, 10, 6, 8, 12, 8, 12, 8, 6, 8, 6, 8, 8, 4, 4, 8, 4, 8, 8, 10, 8, 4, 8, 4, 4, 2, 4, 6, 8, 8, 8, 4, 4, 4, 4, 8, 8, 8, 8, 8, 6, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 0]"
"[0, 3, 1, 1]",4,"[2, 0, 3, 1]",0,19,0,"[4, 8, 4, 8, 10, 6, 4, 8, 12, 6, 12, 8, 8, 8, 6, 6, 6, 6, 0]"
