Tablero inicial,Tamaño del tablero,Tablero solución,Número de conflicos,Cantidad de Movimientos,Tiempo (segundos),Historial de reinas amenazadas
"[6, 3, 4, 2, 2, 5, 1, 3]",8,"[6, 3, 0, 2, 7, 5, 7, 1]",2,3,"0,002992391586","[8, 4, 2, 2]"
"[0, 6, 3, 0, 6, 2, 2, 3]",8,"[0, 6, 3, 7, 7, 4, 2, 5]",2,3,"0,001994371414","[10, 4, 2, 2]"
"[5, 1, 7, 7, 6, 5, 3, 7]",8,"[5, 2, 0, 7, 6, 2, 3, 1]",6,4,"0,002993583679","[16, 10, 8, 6, 6]"
"[0, 0, 6, 0, 7, 2, 3, 6]",8,"[0, 2, 6, 1, 7, 2, 3, 5]",6,2,"0,001994609833","[8, 6, 6]"
"[7, 4, 4, 2, 2, 4, 4, 4]",8,"[3, 1, 6, 2, 5, 7, 0, 3]",2,6,"0,004986524582","[20, 12, 8, 6, 4, 2, 2]"
"[4, 2, 6, 3, 2, 5, 0, 1]",8,"[4, 2, 7, 5, 1, 5, 0, 6]",2,5,"0,003988981247","[10, 8, 6, 4, 2, 2]"
"[7, 0, 0, 5, 1, 3, 2, 2]",8,"[7, 5, 0, 5, 1, 6, 6, 2]",4,2,"0,001994609833","[6, 4, 4]"
"[5, 2, 7, 4, 6, 0, 0, 4]",8,"[0, 2, 7, 1, 6, 3, 0, 4]",4,2,"0,002992630005","[6, 4, 4]"
"[4, 5, 9, 2, 5, 2, 5, 0, 5, 6]",10,"[4, 1, 9, 9, 5, 3, 8, 0, 2, 6]",2,4,"0,007978439331","[18, 10, 4, 2, 2]"
"[1, 6, 4, 5, 1, 7, 3, 3, 7, 5]",10,"[1, 6, 4, 9, 5, 8, 0, 3, 7, 2]",4,4,"0,008976221085","[12, 8, 6, 4, 4]"
"[1, 2, 6, 1, 8, 4, 0, 1, 9, 6]",10,"[5, 2, 9, 1, 8, 4, 0, 7, 0, 6]",2,4,"0,007978200912","[12, 6, 4, 2, 2]"
"[7, 1, 6, 3, 0, 1, 0, 8, 5, 7]",10,"[3, 1, 6, 9, 0, 4, 0, 8, 5, 7]",2,3,"0,00698184967","[8, 4, 2, 2]"
"[7, 5, 9, 6, 6, 5, 1, 9, 4, 3]",10,"[0, 5, 9, 6, 9, 2, 1, 8, 4, 7]",4,5,"0,009972810745","[12, 10, 8, 6, 4, 4]"
"[5, 8, 9, 6, 6, 2, 8, 7, 2, 1]",10,"[5, 7, 9, 6, 0, 2, 8, 8, 4, 1]",4,4,"0,007979154587","[12, 8, 6, 4, 4]"
"[4, 2, 3, 8, 8, 1, 1, 9, 1, 1]",10,"[4, 2, 3, 9, 7, 5, 1, 9, 6, 0]",4,4,"0,007978439331","[12, 8, 6, 4, 4]"
"[5, 1, 9, 5, 7, 9, 0, 2, 6, 4]",10,"[1, 1, 8, 5, 7, 9, 0, 2, 6, 4]",6,1,"0,002992153168","[6, 6]"
"[3, 4, 0, 9, 1, 7, 2, 0, 4, 4]",10,"[3, 5, 7, 9, 1, 6, 2, 0, 8, 4]",0,4,"0,006981611252","[10, 4, 2, 0]"
"[3, 5, 1, 7, 8, 1, 4, 4, 6, 8]",10,"[3, 0, 2, 7, 9, 7, 1, 4, 6, 8]",4,4,"0,01496124268","[16, 10, 6, 4, 4]"
"[1, 2, 9, 4, 2, 5, 6, 9, 8, 3]",10,"[1, 4, 9, 4, 2, 5, 8, 6, 0, 3]",4,5,"0,01994562149","[14, 10, 8, 6, 4, 4]"
"[2, 0, 5, 9, 0, 3, 7, 9, 6, 1]",10,"[2, 8, 5, 9, 0, 3, 7, 4, 8, 1]",2,2,"0,00598359108","[4, 2, 2]"
"[7, 0, 3, 7, 5, 9, 9, 0, 2, 6]",10,"[7, 0, 4, 8, 5, 9, 2, 5, 2, 6]",4,4,"0,0109705925","[10, 8, 6, 4, 4]"
"[8, 6, 4, 7, 3, 4, 8, 3, 1, 7]",10,"[8, 6, 2, 9, 7, 0, 8, 3, 1, 6]",4,4,"0,00997376442","[12, 8, 6, 4, 4]"
"[3, 4, 0, 3, 5, 8, 9, 9, 0, 8]",10,"[8, 4, 0, 7, 5, 2, 6, 9, 3, 8]",2,5,"0,01097035408","[12, 8, 6, 4, 2, 2]"
"[5, 8, 8, 1, 7, 2, 9, 0, 2, 7]",10,"[5, 8, 8, 1, 4, 2, 9, 6, 3, 7]",4,3,"0,00598359108","[10, 6, 4, 4]"
"[8, 4, 4, 5, 9, 4, 4, 4, 4, 5]",10,"[6, 4, 2, 0, 9, 7, 4, 0, 3, 5]",4,6,"0,0109705925","[26, 18, 10, 8, 6, 4, 4]"
"[0, 6, 6, 6, 7, 5, 5, 0, 8, 9]",10,"[2, 8, 6, 1, 7, 1, 5, 0, 9, 3]",4,6,"0,01196789742","[20, 14, 10, 8, 6, 4, 4]"
"[3, 6, 5, 2, 7, 5, 1, 5, 9, 9]",10,"[8, 6, 4, 2, 7, 9, 1, 5, 9, 0]",4,3,"0,006981134415","[10, 6, 4, 4]"
"[8, 9, 7, 5, 0, 1, 8, 1, 0, 2]",10,"[3, 9, 7, 4, 1, 1, 8, 5, 0, 2]",2,4,"0,007979154587","[14, 8, 4, 2, 2]"
"[5, 3, 5, 3, 6, 8, 0, 5, 4, 9]",10,"[5, 7, 1, 4, 6, 8, 0, 2, 3, 9]",2,4,"0,008975505829","[12, 8, 4, 2, 2]"
"[8, 0, 3, 4, 6, 7, 4, 8, 8, 8]",10,"[8, 0, 3, 1, 6, 7, 9, 2, 5, 5]",4,4,"0,007978916168","[16, 10, 6, 4, 4]"
"[9, 4, 3, 0, 7, 3, 5, 5, 7, 9]",10,"[9, 6, 3, 0, 7, 1, 8, 5, 2, 4]",0,5,"0,00797867775","[12, 8, 4, 2, 0]"
"[3, 4, 7, 5, 6, 0, 7, 2, 5, 0]",10,"[3, 1, 9, 5, 2, 0, 7, 2, 4, 8]",4,4,"0,007978439331","[16, 12, 8, 4, 4]"
"[5, 2, 2, 5, 2, 4, 8, 5, 5, 3]",10,"[1, 1, 9, 7, 2, 4, 8, 0, 5, 3]",2,4,"0,007978916168","[14, 8, 4, 2, 2]"
"[6, 5, 7, 3, 2, 3, 7, 1, 3, 1]",10,"[6, 4, 2, 0, 8, 4, 7, 9, 3, 1]",2,6,"0,01196789742","[16, 12, 8, 6, 4, 2, 2]"
"[2, 3, 5, 1, 6, 1, 3, 6, 6, 9]",10,"[2, 7, 5, 8, 8, 1, 3, 6, 6, 9]",4,3,"0,006981372833","[12, 6, 4, 4]"
"[5, 2, 2, 3, 4, 6, 9, 7, 9, 7]",10,"[5, 2, 8, 3, 0, 6, 9, 1, 5, 7]",4,4,"0,007978439331","[16, 10, 6, 4, 4]"
"[6, 4, 8, 5, 0, 0, 4, 9, 8, 0]",10,"[6, 4, 1, 5, 8, 2, 7, 3, 8, 0]",2,5,"0,009973526001","[14, 8, 6, 4, 2, 2]"
"[1, 5, 1, 1, 0, 1, 7, 9, 8, 4]",10,"[1, 5, 9, 6, 0, 2, 4, 9, 8, 3]",4,4,"0,00797867775","[14, 8, 6, 4, 4]"
"[8, 11, 6, 8, 4, 1, 8, 10, 7, 0, 2, 5]",12,"[7, 9, 3, 8, 4, 1, 8, 10, 7, 0, 2, 5]",4,3,"0,01296544075","[8, 6, 4, 4]"
"[3, 11, 9, 0, 6, 10, 10, 10, 8, 7, 2, 11]",12,"[4, 7, 9, 0, 6, 10, 1, 10, 8, 5, 3, 11]",4,4,"0,016954422","[14, 10, 8, 4, 4]"
"[8, 7, 7, 5, 5, 8, 11, 9, 11, 0, 11, 10]",12,"[10, 7, 3, 1, 8, 2, 11, 9, 11, 0, 4, 4]",4,6,"0,02393603325","[26, 18, 12, 8, 6, 4, 4]"
"[8, 5, 10, 9, 1, 3, 10, 7, 8, 3, 0, 10]",12,"[2, 5, 11, 9, 1, 3, 11, 7, 8, 0, 0, 10]",6,4,"0,01695466042","[16, 12, 8, 6, 6]"
"[8, 0, 4, 11, 9, 6, 10, 1, 9, 10, 5, 2]",12,"[3, 0, 4, 11, 1, 6, 10, 0, 9, 7, 5, 2]",6,3,"0,01296544075","[12, 8, 6, 6]"
"[7, 4, 5, 4, 7, 8, 0, 9, 0, 3, 8, 10]",12,"[1, 6, 2, 11, 7, 1, 3, 9, 0, 4, 8, 10]",2,7,"0,02692770958","[18, 14, 10, 8, 6, 4, 2, 2]"
"[9, 3, 10, 6, 5, 6, 5, 8, 11, 3, 9, 6]",12,"[7, 3, 10, 0, 2, 11, 5, 8, 11, 1, 4, 6]",2,5,"0,01994681358","[24, 16, 12, 6, 2, 2]"
"[8, 8, 7, 3, 5, 0, 0, 4, 10, 6, 11, 0]",12,"[8, 8, 5, 3, 9, 0, 10, 4, 2, 5, 11, 1]",4,5,"0,01994633675","[16, 12, 8, 6, 4, 4]"
"[8, 8, 1, 6, 1, 2, 7, 3, 10, 9, 11, 6]",12,"[8, 5, 1, 6, 11, 2, 7, 3, 10, 7, 4, 0]",2,4,"0,01695466042","[10, 8, 4, 2, 2]"
"[5, 7, 10, 9, 9, 8, 6, 3, 11, 4, 10, 9]",12,"[5, 7, 2, 0, 3, 9, 6, 8, 11, 4, 1, 9]",4,5,"0,0209441185","[20, 14, 8, 6, 4, 4]"
"[5, 3, 7, 7, 4, 9, 3, 7, 3, 4, 0, 5]",12,"[7, 3, 11, 9, 4, 1, 3, 10, 6, 2, 0, 5]",2,8,"0,02991986275","[22, 16, 12, 10, 8, 6, 4, 2, 2]"
"[8, 5, 2, 11, 5, 6, 10, 4, 6, 7, 1, 7]",12,"[8, 5, 2, 10, 5, 0, 9, 9, 6, 3, 1, 7]",4,4,"0,01695489883","[16, 10, 8, 4, 4]"
"[10, 5, 11, 1, 5, 3, 3, 10, 9, 0, 5, 11]",12,"[7, 5, 11, 1, 6, 0, 3, 10, 0, 2, 4, 11]",4,5,"0,0209441185","[16, 12, 10, 8, 4, 4]"
"[2, 11, 1, 6, 7, 5, 8, 8, 3, 6, 5, 1]",12,"[2, 11, 1, 10, 4, 5, 0, 10, 3, 6, 9, 7]",6,5,"0,02094483376","[18, 14, 10, 8, 6, 6]"
"[9, 4, 2, 11, 0, 10, 4, 10, 5, 5, 3, 2]",12,"[9, 7, 1, 11, 0, 6, 4, 10, 5, 11, 3, 1]",6,4,"0,03989291191","[16, 12, 8, 6, 6]"
"[9, 2, 4, 5, 9, 7, 11, 9, 7, 7, 3, 7]",12,"[9, 2, 4, 6, 10, 0, 11, 1, 7, 9, 3, 8]",4,5,"0,04687476158","[24, 16, 10, 6, 4, 4]"
"[3, 4, 1, 4, 9, 7, 5, 8, 8, 9, 8, 8]",12,"[3, 11, 6, 4, 10, 1, 5, 2, 6, 9, 0, 8]",4,6,"0,02393531799","[20, 14, 10, 8, 6, 4, 4]"
"[4, 0, 1, 3, 0, 6, 7, 8, 9, 0, 2, 3]",12,"[4, 9, 1, 3, 10, 3, 7, 8, 11, 0, 2, 5]",4,5,"0,019947052","[20, 14, 10, 6, 4, 4]"
"[5, 7, 3, 3, 3, 7, 0, 4, 5, 8, 0, 3]",12,"[9, 6, 3, 1, 11, 7, 0, 11, 5, 8, 10, 3]",4,5,"0,02094340324","[18, 12, 8, 6, 4, 4]"
"[9, 2, 3, 10, 11, 0, 3, 4, 3, 4, 0, 4]",12,"[9, 2, 6, 10, 1, 11, 8, 5, 3, 7, 0, 4]",4,6,"0,02393603325","[26, 18, 12, 8, 6, 4, 4]"
"[4, 2, 6, 3, 7, 1, 1, 3, 11, 5, 3, 10]",12,"[4, 2, 6, 3, 7, 10, 1, 9, 5, 5, 0, 10]",6,3,"0,01296544075","[12, 8, 6, 6]"
"[7, 3, 1, 5, 9, 0, 4, 3, 3, 10, 11, 1]",12,"[7, 3, 1, 5, 9, 0, 4, 10, 8, 6, 11, 2]",4,3,"0,01396274567","[10, 8, 4, 4]"
"[3, 5, 0, 6, 9, 2, 9, 7, 1, 4, 0, 10]",12,"[8, 5, 3, 9, 0, 2, 11, 7, 1, 4, 1, 10]",2,5,"0,01994681358","[10, 8, 6, 4, 2, 2]"
"[2, 8, 0, 11, 6, 3, 10, 10, 3, 7, 8, 8]",12,"[5, 2, 0, 11, 6, 3, 10, 10, 4, 9, 1, 8]",4,5,"0,02094388008","[20, 14, 10, 6, 4, 4]"
"[11, 8, 5, 6, 5, 7, 9, 3, 9, 6, 5, 11]",12,"[11, 8, 5, 1, 2, 7, 10, 3, 9, 6, 4, 0]",4,4,"0,016954422","[22, 12, 8, 4, 4]"
"[1, 11, 11, 9, 10, 6, 0, 3, 5, 2, 9, 4]",12,"[1, 11, 6, 8, 10, 0, 0, 3, 5, 7, 9, 4]",2,4,"0,01695466042","[12, 8, 4, 2, 2]"
"[7, 8, 11, 1, 5, 9, 10, 1, 8, 2, 7, 3]",12,"[7, 4, 11, 0, 5, 10, 4, 1, 8, 2, 9, 3]",2,5,"0,01994681358","[10, 8, 6, 4, 2, 2]"
"[8, 9, 6, 1, 6, 0, 2, 4, 5, 2, 8, 2]",12,"[3, 9, 6, 4, 0, 0, 11, 7, 5, 2, 8, 10]",2,6,"0,02393627167","[20, 14, 10, 6, 4, 2, 2]"
